Job_Role,Company_Name,City,Work_type,Salary,Job_function,Description,Post_Time
Sales Representative,FireBrand Industries Limited,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Sales Representative,FireBrand Industries Limited,Rest of Nigeria (Bayelsa),Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Product Marketing Manager,Corperland,Remote (Work From Home),Full Time,"75,000 - 150,000",Marketing & Communications,4 days ago,"We are looking for an experienced Product Marketing Manager to lead marketing initiatives, drive user acquisition, and ensure the overall growth of our platform. You will be responsible for developing marketing campaigns, refining our brand positioning, and optimizing user engagement to attract NYSC members and prospective corps members."
Sales Representative,FireBrand Industries Limited,Enugu,Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Branch Accountant,FireBrand Industries Limited,Enugu,Full Time,"150,000 - 250,000","Accounting, Auditing & Finance",4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Branch Accountant,FireBrand Industries Limited,Rest of Nigeria (Abia),Full Time,"150,000 - 250,000","Accounting, Auditing & Finance",4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Facility Manager,Cakes and Cream,Lagos,Full Time,Confidential,Estate Agents & Property Management,4 days ago,Are you an experienced Facility Manager with a keen eye for detail and a passion for maintaining a well-organized and efficient workspace? We are looking for a proactive and resourceful professional to join our team!
Audit Trainee,A.A Matthew & Co International Limited,Lagos,Full Time,"75,000 - 150,000","Accounting, Auditing & Finance",4 days ago,AA Matthew & Co International is looking to hire an Audit Trainee who would work in line with the organization's goals. We are an accounting and professional services firm with a presence in Imobido.
Sales Representative,Cone Zhui Ti Ltd,Lagos,Full Time,"75,000 - 150,000",Sales,5 days ago,"Cone Group is seeking highly motivated and result-oriented Sales Representatives to join our growing team. The ideal candidate will be responsible for identifying potential clients, promoting our IT and ELV solutions, and closing deals effectively. This role requires strong communication skills, persistence, and a passion for driving sales."
Manager,Zirem Consulting Limited,Abeokuta & Ogun State,Full Time,"75,000 - 150,000",Marketing & Communications,5 days ago,"Our Client, a startup fashion house in Nigeria is seeking a dynamic and results-driven Manager to lead our newly established fashion house in Nigeria. This is an exciting opportunity for an experienced and passionate individual to help shape and grow a fashion brand from the ground up. The ideal candidate will have a strong background in fashio ..."
Social Media Manager & Content Creator,Zirem Consulting Limited,Abeokuta & Ogun State,Full Time,"75,000 - 150,000",Marketing & Communications,5 days ago,"Our Client, a startup fashion house in Nigeria is seeking a creative and strategic Social Media Manager & Content Creator to join our startup fashion house in Nigeria. This role is ideal for someone passionate about fashion, social media, and content creation, with the ability to grow and engage an online audience. The ideal candidate will be r ..."
Social Media & Marketing Manager,ResourceBarge,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,1 week ago,"We're hiring a creative Social Media & Marketing Manager to develop strategies that engage our target audience, build brand awareness, and drive user acquisition for our app. You'll collaborate with product and design teams to ensure messaging aligns with our mission of providing trusted care for families."
Senior Accountant,Cakes and Cream,Lagos,Full Time,Confidential,"Accounting, Auditing & Finance",1 week ago,Cakes and Cream is looking to hire an experienced Senior Accountant to join our team.
Accountant,Cakes and Cream,Lagos,Full Time,"150,000 - 250,000","Accounting, Auditing & Finance",1 week ago,Cakes and Cream is looking to hire an experienced Accountant to join our team. The ideal candidate will be able to gather an in-depth analysis of the basic functions of the business and manage all accounting transactions as well as provide insight on cash flow patterns.
Area Sales Representative,Sancare Biomedical Limited,Rest of Nigeria (Nationwide),Full Time,"150,000 - 250,000",Sales,1 week ago,We are looking to hire sales professionals for the sale of IVD products and Hemodialysis products respectively
Electrician,Mota-Engil NG,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,1 week ago,"We are looking for a skilled Electrician to install, maintain, and repair electrical systems, ensuring safety and compliance with standards. The ideal candidate should have strong technical expertise, problem-solving skills and the ability to work independently or as part of a team."
Sales & Marketing Lead,O'Bounce Technologies,Remote (Work From Home),Contract,"150,000 - 250,000",Sales,1 week ago,"Are you a strategic thinker, go-getter, and results-driven marketer? Join our team to drive growth, close deals, and expand our reach in the fintech space"
Aquaculture Manager,"Lohachy Farms, Epe",Lagos,Full Time,"75,000 - 150,000",Management & Business Development,1 week ago,We seek a suitable candidate for this position.
Sales Representative,Un Phones Ltd,Lagos,Full Time,"75,000 - 150,000",Sales,1 week ago,We are looking to hire a suitable candidate to fill this position.
Senior Full-Stack Developer,Netwelve LLC,Remote (Work From Home),Contract,Confidential,Software & Data,1 week ago,"At IP Labs, we help content owners and creators secure their media and ensure their social media content is copyright-safe. Our flagship solution, RightsSync, audits and monitors copyrighted music usage across social platforms, leveraging the world’s largest music database and cutting-edge detection technology.

Join IP Labs as a Senior Full- ..."
Human Resource Specialist,Geoinfotech Resources Limited,Lagos,Full Time,"150,000 - 250,000",Human Resources,1 week ago,"An HR Specialist is responsible for managing various human resources functions within an organization. They focus on areas such as recruitment, employee relations, benefits administration, training, and compliance with labor laws. Their role is to support both employees and management to ensure a productive and legally compliant workplace."
Internal Audit and Control Officer,ARCTANGENT SOLUTIONS LIMITED,Abuja,Full Time,"150,000 - 250,000","Accounting, Auditing & Finance",1 week ago,"We are looking for a diligent Internal Audit Officer to join our team and ensure the effectiveness of our internal controls and processes. The ideal candidate will have a keen eye for detail, strong analytical skills, and a commitment to upholding the highest standards of integrity and compliance."
Visa Procurement Officer,Royelitours and Travels,Lagos,Full Time,"250,000 - 400,000",Consulting & Strategy,2 weeks ago,"We are looking for an experienced Visa Procurement Officer to manage visa processing services for our clients. The successful candidate will be responsible for handling visa applications, ensuring compliance with all relevant regulations, and providing expert guidance on visa requirements for various destinations."
Travel Consultant,Royelitours and Travels,Lagos,Full Time,"150,000 - 250,000",Consulting & Strategy,2 weeks ago,"We are seeking a highly motivated and customer-oriented Travel Consultant to join our dynamic team. The ideal candidate will be responsible for assisting clients with their travel needs, providing expert advice, and ensuring seamless travel experiences. The role requires excellent communication skills, attention to detail, and a passion for tra ..."
Sales Representative,Healthy Eats,Lagos,Contract,"75,000 - 150,000",Sales,1 week ago,"We are seeking a Sales Representative in Ago Palace Way, Lagos Mainland to supply premium products to supermarkets, build relationships with purchase managers, and exceed sales targets. Candidates must have experience in supermarket sales, strong communication skills, and reside in Lagos Mainland."
AI/ML Engineer,Acedboard Inc,Remote (Work From Home),Contract,"600,000 - 900,000",Software & Data,2 weeks ago,"We are hiring a contract AI/ML Engineer to develop a cutting-edge generative AI virtual avatar chatbot. You will fine-tune large language models, leverage advanced AI frameworks, and integrate open-source tools for an engaging, interactive experience. Work fully remote with a dynamic, global team."
Telemarketer,Realty Point Limited,Lagos,Full Time,"75,000 - 150,000",Sales,2 weeks ago,"A dynamic multifaceted Pan-African real estate company is in urgent need of an enthusiastic Telemarketer for immediate employment to generate sales either by cold calling or answering requests in a fast-paced environment. The
Telemarketer will influence existing or potential customers to buy products or services. The successful candidate must  ..."
Sales Executive,Realty Point Limited,Lagos,Full Time,"75,000 - 150,000",Sales,2 weeks ago,We seek an exceptional female Sales Executive to help identify prospects and generate valid leads from online and offline marketing activities
Dispatch Rider,Veracity Hub,Lagos,Full Time,"75,000 - 150,000",Driver & Transport Services,2 weeks ago,We are looking for a pro active Dispatch Rider who would be in charge of making sure all deliveries/packages get to the customer in good condition.
Marketing Executive,Hengji Mining Company Ltd,Rest of Nigeria (Nationwide),Full Time,"75,000 - 150,000",Marketing & Communications,1 week ago,"We are seeking a dynamic and results-driven Marketing Executive to join our team. The ideal candidate will be responsible for developing and executing marketing strategies, driving sales, and building strong customer relationships. This role requires excellent communication skills, a passion for sales, and the ability to work in a fast-paced en ..."
Pharmacy Technician,Castville Solutions,Lagos,Full Time,"75,000 - 150,000",Health & Safety,1 week ago,"We are looking to hire a detail-oriented and dedicated Pharmacy Technician to join our team. The ideal candidate will assist the pharmacist in preparing and dispensing medications, managing inventory, and providing exceptional customer service in a retail pharmacy setting. If you are passionate about healthcare and eager to make a difference, we’d"
Logistics Manager,MERGER EXCLUSIVE PACIFIC LTD,Lagos,Full Time,"75,000 - 150,000",Management & Business Development,2 weeks ago,"We're looking to hire an experienced Logistics Manager who can drive growth through effective logistics operations and strong promotional strategies, both online and offline."
Pharmacist,Shop 88 Supermarket,Abeokuta & Ogun State,Full Time,"250,000 - 400,000",Medical & Pharmaceutical,2 weeks ago,"Pharmacists are integral healthcare professionals specializing in the preparation, dispensing, and appropriate use of medications. Their expertise ensures that patients receive optimal therapeutic outcomes while minimizing potential risks associated with medication use. This position is available in Ijebu-Ode"
Agronomist,Pavilion MG Farms,Rest of Nigeria (Edo),Full Time,"250,000 - 400,000",Farming & Agriculture,2 weeks ago,We seek a suitable candidate for this position.
Guest Service Agent (GSA),Midstream Hospitality and Entertainment LTD,Lagos,Full Time,"75,000 - 150,000",Admin & Office,2 weeks ago,We seek a suitable candidate for this position.
Business Development Officer,Centre for Communication and Social Impact,Abuja,Full Time,Confidential,Management & Business Development,2 weeks ago,"CCSI seeks an individual with an excellent track record of successfully leading business development initiatives, gaining and retaining new business and partnerships. The BDO will help to push CCSI’s vision forward and can partner with multiple departments to drive measurable results that benefit our business. You should have a positive outlook ..."
Executive Assistant to the Executive Director,Centre for Communication and Social Impact,Abuja,Full Time,Confidential,Admin & Office,2 weeks ago,"The Executive Assistant (EA) provides high-level administrative and operational support to the Executive Director (ED) and the Executive Office Department at CCSI. They are responsible for the management, analysis and improvement of information flow within the department and the wider organization. This role is essential for ensuring the effici ..."
"Manager, Production Quality Assurance","Lohachy Farms, Epe",Lagos,Full Time,"75,000 - 150,000",Quality Control & Assurance,2 weeks ago,"To assure high quality of our operations, products and services aiming to the achievement of the company Vision and Mission."
Agricultural Educator,Aaresther Divine School,Lagos,Full Time,"75,000 - 150,000","Research, Teaching & Training",2 weeks ago,"We are looking for a dedicated and passionate Agricultural science educator to join our team. The educator will be responsible for creating and implementing a dynamic, engaging, and effective curriculum for children in Secondary school."
Business Development Manager,Josa Medics Enterprises Limited,Lagos,Full Time,"150,000 - 250,000",Management & Business Development,2 weeks ago,"We are looking for a Business Development Manager who will be responsible for identifying and pursuing new business opportunities, developing strategic partnerships, and driving revenue growth. The ideal candidate will have a strong background in business development, excellent communication and negotiation skills, and a proven track record of  ..."
Business Development Officer,TRTGLimited,Rest of Nigeria (Delta),Full Time,"75,000 - 150,000",Management & Business Development,2 weeks ago,We seek a suitable candidate for this position.
Business Development Officer,TRTGLimited,Lagos,Full Time,"75,000 - 150,000",Management & Business Development,2 weeks ago,We seek a suitable candidate for this position.
Furniture Delivery Driver,Aquila Interior Limited,Lagos,Full Time,"75,000 - 150,000",Driver & Transport Services,2 weeks ago,"We are seeking a reliable and professional Furniture Delivery Driver to join our team at Aquila interiors. As a Furniture Delivery Driver, you will be responsible for ensuring the safe and timely delivery of furniture to customers’ homes or business locations. You will represent our company with excellent customer service and attention to detai ..."
Warehouse Staff,Aquila Interior Limited,Lagos,Full Time,"75,000 - 150,000",Management & Business Development,2 weeks ago,"We are seeking reliable and hardworking Warehouse Staff to join our team at Aquila interiors. The Warehouse Staff will play a crucial role in ensuring the efficient storage, handling, and delivery of furniture products. This position requires a high level of organization, attention to detail, and the ability to work in a fast-paced environment"
Game Master (Snooker Rackers),The 50 Waves Limited,Lagos,Full Time,"75,000 - 150,000",Hospitality & Leisure,2 weeks ago,We seek a suitable candidate for this position.
Marketer,The 50 Waves Limited,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,2 weeks ago,We seek a suitable candidate for this position.
Student Liaison Officer,Emsoh Consults,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Consulting & Strategy,3 weeks ago,We seek a suitable candidate for this position
Facility Manager,Romax Properties Limited,Lagos,Full Time,"75,000 - 150,000",Estate Agents & Property Management,3 weeks ago,"The Facility Manager is responsible for overseeing the daily operations, maintenance, and safety of the estate’s facilities. This role involves managing a variety of services and tasks to ensure the estate remains in excellent condition and operates smoothly. The Facility Manager will coordinate staff, maintenance contractors, and vendors, ensu ..."
Quantity Surveyor,Romax Properties Limited,Lagos,Full Time,"75,000 - 150,000",Building & Architecture,3 weeks ago,"The Quantity Surveyor will be responsible for managing the financial and contractual aspects of construction projects in Lagos, ensuring projects are completed on time, within budget, and to the required quality standards. This role requires strong technical skills in cost estimation, contract administration, procurement, and financial reporting."
Social Media Manager,Aquila Interior Limited,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,2 weeks ago,"We are seeking a creative, organized, and proactive Social Media Manager to join our team at Aquila interiors. The ideal candidate will be responsible for managing and growing our social media presence, developing engaging content, and executing social media strategies to promote our furniture brand. You will work closely with the marketing and ..."
Field/Marketing Official,Nomisma Olive Nigeria Limited,Lagos,Full Time,"150,000 - 250,000",Management & Business Development,3 weeks ago,"Nomisma Olive Nigeria Limited is a Loans and Investment Services Firm. We are seeking a proactive and results-driven Field/Marketing Official to join our loan firm. The ideal candidate will be responsible for acquiring new clients, verifying loan applicants, and ensuring timely loan recovery while maintaining strong customer relationships."
Executive Assistant,Boston Technical Training & Vocational Development Centre Ltd,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Admin & Office,3 weeks ago,"We are seeking an experienced and highly skilled Executive Assistant to provide administrative support to the General Manager. The successful candidate will be responsible for managing the General Manager's schedule, coordinating all activities, preparing correspondence, and ensuring the smooth flow of work in all areas of interest to the Gener ..."
Social Media Manager & Proposal Coordinator,Boston Technical Training & Vocational Development Centre Ltd,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Management & Business Development,3 weeks ago,"The Social Media Manager & Proposal Coordinator will manage our online presence and oversee the preparation, submission, and tracking of company proposals. This role requires creativity in content creation, strong communication skills, and the ability to handle administrative tasks efficiently."
Mathematics Teacher,Emovet Group of Schools,Lagos,Full Time,"75,000 - 150,000","Research, Teaching & Training",3 weeks ago,We seek a suitable candidate for this position.
Business Development Officer,Evrydayfab,Lagos,Full Time,"150,000 - 250,000",Management & Business Development,3 weeks ago,"Evrydayfabrics is a choice destination for high-quality fabrics, offering a wide range of haute couture textiles to inspire creativity and style.

We are seeking a proactive, strategic, and results-driven Business Development Officer to join our team and help take our business to the next level. The Business Development Officer will be respon ..."
Product Manager,ResourceBarge,Remote (Work From Home),Full Time,"250,000 - 400,000",Product & Project Management,3 weeks ago,"We’re looking for a Product Manager to lead the development and launch of our mobile app. This role involves product management, market research, vendor relations, and user onboarding. The ideal candidate will have experience with mobile app lifecycles, third-party vendors, and go-to-market strategies."
Retail Sales Representative,Merger Optical,Lagos,Full Time,"75,000 - 150,000",Creative & Design,3 weeks ago,"We are looking for dynamic and driven individuals to fill the role of Retail Sales Representative/Content creator . The ideal candidates will have a strong background in luxury sales and brand management and an understanding of the unique dynamics of the luxury market. The roles will focus on enhancing brand visibility, engaging with customers"
Project Manager,Seadolf System Global Services Limitedf,Lagos,Full Time,"75,000 - 150,000",Product & Project Management,3 weeks ago,We seek a suitable candidate for this position.
Fashion House Manager,Loruma International Ltd,Lagos,Full Time,"150,000 - 250,000",Admin & Office,3 weeks ago,We seek a suitable candidate for this position.
Supervisor,JetsWorld Lubricant,Port Harcourt & Rivers State,Part Time,"75,000 - 150,000",Management & Business Development,3 weeks ago,We seek a suitable candidate for this position.
Plumbing Technician,Mota-Engil NG,Lagos,Full Time,"150,000 - 250,000",Admin & Office,3 weeks ago,"We are looking for a skilled Plumbing Technician to oversee and perform plumbing installations, repairs, and maintenance while ensuring safety and compliance with industry standards."
HVAC Technician,Mota-Engil NG,Lagos,Full Time,"150,000 - 250,000",Admin & Office,3 weeks ago,"We are looking for a skilled HVAC Technician to install, maintain, and repair heating, ventilation, and air conditioning systems. The ideal candidate will diagnose malfunctions, perform preventative maintenance, and ensure systems operate efficiently and safely in both residential and commercial settings."
Handy Man,Mota-Engil NG,Lagos,Full Time,"150,000 - 250,000",Admin & Office,3 weeks ago,"We are looking for a reliable and skilled Handy Man to perform general maintenance and repair tasks in office buildings. The ideal candidate should have experience in multiple trades, including plumbing, electrical work, carpentry, and general building maintenance. This role requires strong problem-solving skills, and attention to detail."
Facility Manager,Mota-Engil NG,Lagos,Full Time,"400,000 - 600,000",Admin & Office,3 weeks ago,"We are seeking a skilled Facility Manager to oversee the maintenance, repairs, and overall upkeep of our facilities. This role requires strong technical expertise, exceptional organizational skills, and the ability to efficiently manage maintenance schedules, coordinate with vendors, and oversee budgets—all while ensuring full compliance."
"Dean, Auto Academy - Vocational Institute",White Tulip Consulting Limited,Imo,Full Time,"400,000 - 600,000",Management & Business Development,3 weeks ago,"The Dean of Auto Academy at Ezwon Educational Institute shall be the Chief Operating Officer, reporting to the President of the Board of Trustees. This role involves providing academic, instructional, and administrative leadership to drive vocational educational effectiveness and achievements."
"Quality Health, Safety, and Environment (QHSE) Officer",Gelose Marine Nigeria Limited,Port Harcourt & Rivers State,Full Time,"150,000 - 250,000",Health & Safety,3 weeks ago,"Gelose Marine Services is seeking a proactive and experienced Quality Health, Safety, and Environment (QHSE) Officer to join our team. This role is vital in ensuring compliance with safety regulations across our vessels, fleets, assets, and jetty while upholding the highest industry and regulatory standards."
Mechanical Engineer,Gmunu Limited,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,3 weeks ago,We are looking to hire a suitable candidate to fill this position.
Structural Engineer,Gmunu Limited,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,3 weeks ago,We are looking to hire a suitable candidate to fill this position.
House Chef,Touchshine Africa Limited,Lagos,Full Time,"75,000 - 150,000",Food Services & Catering,3 weeks ago,"We are seeking a skilled and reliable Private Chef to manage the daily meal preparation for a private household. The chef will be responsible for planning and cooking meals, ensuring quality and timely service. This role requires early morning starts and evening closures, with one day off per week."
Marketing Manager,Graphic Projects Ltd,Lagos,Full Time,"250,000 - 400,000",Marketing & Communications,3 weeks ago,"We are seeking a highly motivated and creative Marketing Manager to join our team in the Out-of-Home Advertising Industry. The successful candidate will be responsible for developing and implementing marketing strategies to promote our OOH advertising services, increasing brand awareness, and driving sales."
Digital Marketing Assistant,E&R STANDARD GATE LIMITED,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,3 weeks ago,"We are seeking a proactive and creative Digital Marketing Assistant to join our team. In this role, you will support our digital marketing initiatives by developing engaging content, managing our online presence, and executing various marketing campaigns. This entry-level position is ideal for candidates with 2 years of experience who are eager ..."
Property Manager – Shortlet Apartment,E&R STANDARD GATE LIMITED,Lagos,Full Time,"75,000 - 150,000",Estate Agents & Property Management,3 weeks ago,"We are seeking an organized and proactive Property Manager to oversee the day-to-day operations of our short let apartments. In this role, you will be responsible for marketing the properties, managing guest relations, coordinating bookings, and ensuring that our properties are maintained to the highest standards. The ideal candidate will have  ..."
Office Assistant,E&R STANDARD GATE LIMITED,Lagos,Full Time,"75,000 - 150,000",Admin & Office,3 weeks ago,"We are seeking a motivated and detail-oriented Office Assistant to support our daily administrative operations. This entry-level role is ideal for individuals with 1-2 years of experience who are eager to learn and contribute to the smooth running of our office. The successful candidate will assist with various administrative tasks, ensuring th ..."
Auto Electrician - Truck Cabin Assembly,Quanlee Overseas Warehouse,Lagos,Full Time,"75,000 - 150,000",Engineering & Technology,3 weeks ago,"We are seeking a skilled Auto Electrician to join our truck cabin assembly department. The ideal candidate will be responsible for installing, repairing, and maintaining electrical systems in truck cabins, ensuring they meet operational and safety standards."
Auto Parts Sales Representative,Quanlee Overseas Warehouse,Lagos,Full Time,"75,000 - 150,000",Sales,3 weeks ago,"The Auto Parts Sales Representative plays a crucial role in fostering strong relationships with customers, retaining existing business, and driving sales growth. This position involves working closely with clients to understand their needs and provide tailored solutions from our extensive range of automotive parts."
"Technician, Network Physical Infrastructures",ICST Solutions,Lagos,Full Time,"75,000 - 150,000",Engineering & Technology,3 weeks ago,"We seek to hire a suitable candidate to fill this position. The candidate will lead a team to perform cabling tasks for UPS, Data, CCTV, Public Address, and Fire Alarm Systems in customers’ premises."
"System/Field Engineer, Network Foundation and Unified Communications",ICST Solutions,Lagos,Full Time,"250,000 - 400,000",Engineering & Technology,3 weeks ago,We are looking to hire a suitable candidate for this position
Senior Sales Executive,Akara Innovations Limited,Lagos,Full Time,"400,000 - 600,000",Sales,3 weeks ago,We are seeking a dynamic and results-driven Senior Sales Executive to join our growing real estate firm. The ideal candidate will combine exceptional relationship-building skills with deep industry knowledge to drive  sales of Co-ownership units in affordable housing projects and expand our market presence.
Sales Representative,Seeds and Oaks Associates,Rest of Nigeria (Anambra),Full Time,"75,000 - 150,000",Sales,4 weeks ago,Our company Seeds and Oaks Associates is looking for a Sales Representative to be responsible for generating leads and meeting sales goals in Nnewi and its environs
Civil Engineer,Romax Properties Limited,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,3 weeks ago,"We are seeking a skilled and motivated Civil Engineer to join our team. The ideal candidate will be responsible for designing, developing, and managing infrastructure projects while ensuring compliance with safety regulations and standards."
Sales Representative,Taylek Drugs Company Limited,Rest of Nigeria (Nationwide),Full Time,"150,000 - 250,000",Sales,4 weeks ago,"To market and sell the company’s pharmaceutical products brand, manage existing customers and developing new ones to increase the customer base for overall achievement of company target and improve market visibility."
Pharmacovigilance Officer,Taylek Drugs Company Limited,Lagos,Full Time,"150,000 - 250,000",Quality Control & Assurance,4 weeks ago,"The PV Officer is responsible for the oversight of safety studies including NAFDAC  Post-authorization safety studies (PASS), surveillance studies and other activities to ensure compliance with safety regulations, requirements, and commitments in Risk Management Plans"
Senior Accounts Officer/Accountant,KPC Consults Ltd.,Abuja,Full Time,"250,000 - 400,000","Accounting, Auditing & Finance",4 weeks ago,"The ideal candidate will have a strong analytical background, excellent attention to detail, and expertise in accounting and financial analysis. You will play a key role in maintaining financial integrity, managing reporting processes, and driving efficiency in the account department."
Chat and Call Line Official,Nomisma Olive Nigeria Limited,Lagos,Full Time,"150,000 - 250,000",Customer Service & Support,4 weeks ago,"We seek to hire an exceptional Female Chat and Call Line Official to help respond promptly to client inquiries via calls, email, SMS, and WhatsApp. The ideal candidate will be responsible for handling and facilitating the completion of business applications."
Sales Relationship Officer,Royal Integrated Ventures,Lagos,Full Time,"75,000 - 150,000",Sales,4 weeks ago,"The Sales Relationship Officer is responsible for identifying and cultivating new business opportunities, maintaining strong relationships with existing clients, and ensuring the delivery of excellent customer service. This role involves actively promoting the company’s services, meeting sales targets, and serving as a key point of contact between"
Driver,Arctangent Engineering Limited,Lagos,Full Time,"75,000 - 150,000",Driver & Transport Services,4 weeks ago,We are looking for a reliable and responsible Driver to join our team. The ideal candidate will be responsible for transporting goods and personnel safely and efficiently while ensuring the vehicle is well-maintained.
Driver,Arctangent Engineering Limited,Abuja,Full Time,"75,000 - 150,000",Driver & Transport Services,4 weeks ago,We are looking for a reliable and responsible Driver to join our team. The ideal candidate will be responsible for transporting goods and personnel safely and efficiently while ensuring the vehicle is well-maintained.
Marketing Officer,Arctangent Engineering Limited,Abuja,Full Time,"75,000 - 150,000",Marketing & Communications,4 weeks ago,"We are seeking a proactive and creative Marketing Officer to join our team. The ideal candidate will assist in developing and implementing marketing strategies to promote our products and services, increase brand awareness, and drive customer engagement."
Marketing Officer,Arctangent Engineering Limited,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,4 weeks ago,"We are seeking a proactive and creative Marketing Officer to join our team. The ideal candidate will assist in developing and implementing marketing strategies to promote our products and services, increase brand awareness, and drive customer engagement."
English Teacher,The Green School,Abuja,Full Time,"150,000 - 250,000","Research, Teaching & Training",1 month ago,"The Teacher with (Checkpoint, IGCSE, WAEC, BECE experience) will be responsible for maximizing the academic progress of the students they teach, working with colleagues to participate fully in the development of the department. The teacher will promote a positive, purposeful, and professional working atmosphere that encourages cooperation and c ..."
Chemistry Teacher,The Green School,Abuja,Full Time,"150,000 - 250,000","Research, Teaching & Training",1 month ago,"The Teacher (with Checkpoint, IGCSE, WAEC, BECE experience)will be responsible for maximizing the academic progress of the students they teach, working with colleagues to participate fully in the development of the department. The teacher will promote a positive, purposeful, and professional working atmosphere that encourages cooperation and ch ..."
Physics Teacher,The Green School,Abuja,Full Time,"150,000 - 250,000","Research, Teaching & Training",1 month ago,"The Teacher (with Checkpoint, IGCSE, WAEC, BECE experience) will be responsible for maximizing the academic progress of the students they teach, working with colleagues to participate fully in the development of the department. The teacher will promote a positive, purposeful, and professional working atmosphere that encourages cooperation and c ..."
